,Name,Gender,DOB,Name Of Area,Pincode,Latitude ,Longitude,Flexibility,Body Composition,Composition Percentage,Interactiveness,Workout Frequency,Workout Mode Preferred,is_sports_enthusiast,like_to_be_mentored,like_to_mentor,fitness_goal_to_be achieved,addons in session,Height_in_cms,Age
675,Asmee Verma,Female,1989-03-19,Dapodi Bazar S.O,411012,18.57995,73.82783,5,Essential Fat,14,5,Daily,Indoor,No,1,3,Mesomorph,Meditation,175,32
676,Raunak Sethi,Male,1993-06-23,L.K. Path S.O,411003,18.54263,73.78494,5,Athletes,6,1,Monday To Friday,Both,Yes,2,1,All,Both,175,27
677,Neysa Patel,Female,1993-09-11,Deccan Gymkhana S.O,411004,18.51806,73.83615,3,Essential Fat,14,5,Monday To Friday,Both,Yes,5,5,Lose fat,Both,169,27
678,Pavati Kumar,Female,1990-03-30,Wanowarie S.O,411040,18.494770000000006,73.90127,5,Acceptable,32,2,Monday To Friday,Indoor,No,3,5,All,Both,160,31
679,Alex Muthu,Male,2002-06-07,N.C.L. Pune S.O,411008,18.53658,73.7989,5,Essential Fat,6,2,Only Weekends,Both,No,4,3,Mesomorph,Both,163,18
680,Rishaan Raman,Male,1994-02-01,Dapodi S.O,411012,18.57749,73.83138000000002,5,Acceptable,23,4,3 days of week,Outdoor,No,1,1,All,Yoga,162,27
681,Anika Roy,Female,2000-08-01,Pune R.S. S.O,411001,18.5114,73.87722,5,Acceptable,32,5,Only Weekends,Outdoor,Yes,5,1,Lose fat,Both,164,20
682,Akanksh Muthu,Male,1990-03-04,Range Hills S.O,411020,18.57462,73.82788000000002,2,Fitness,14,4,Daily,Outdoor,Maybe,1,1,Improve endurance/conditioning,Both,171,31
683,Sai Chauhan,Female,2003-05-15,Akurdi S.O,411035,18.76572,73.68905,2,Obese,40,4,3 days of week,Outdoor,No,1,4,Mesomorph,Both,171,18
684,Pranay Mahajan,Male,2001-05-25,Baner Road S.O,411007,18.55383,73.80216,3,Acceptable,23,2,Alternate Days,Outdoor,No,1,5,Build muscle,None,172,20
685,Parv Rana,Male,1994-08-24,Baner Road S.O,411007,18.55383,73.80216,1,Fitness,14,4,Daily,Both,No,1,5,Mesomorph,None,171,26
686,Aadiv Jindal,Male,1997-03-22,Salisbury Park S.O,411037,18.48591,73.86715,5,Obese,95,2,Any Day of Week,Both,Yes,1,4,Mesomorph,Both,175,24
687,Saanvi Anand,Female,2002-06-20,C D A (O) S.O,411001,18.57571,73.81074,1,Acceptable,32,1,Only Weekends,Outdoor,Yes,4,2,Mesomorph,Yoga,172,18
688,Saloni Charan,Female,1985-03-12,Range Hills S.O,411020,18.57462,73.82788000000002,1,Acceptable,32,5,Monday To Friday,Both,Maybe,5,4,Improve endurance/conditioning,None,164,36
689,Anant Punj,Male,1984-06-30,Thergaon B.O,411033,18.63172,73.73346,3,Essential Fat,6,4,Only Weekends,Both,No,1,1,Lose fat,Meditation,163,36
690,Ishank Lata,Male,2000-11-19,Dr.B.A. Chowk S.O,411001,18.52484,73.87657,5,Essential Fat,6,2,Monday To Friday,Outdoor,Yes,1,4,Build muscle,None,174,20
691,Kaia Chauhan,Female,1987-04-24,Ammunition Factory Khadki S.O,411003,18.57295,73.86363,5,Obese,40,3,3 days of week,Both,Maybe,1,1,Lose fat,Meditation,171,34
692,Rachit Rajagopal,Male,1996-09-04,Khadki S.O,411003,18.56312,73.84433,4,Acceptable,23,4,Any Day of Week,Both,No,1,3,All,None,178,24
693,Aahva Nirmal,Male,1993-07-11,Dhankawadi S.O,411043,18.46554,73.8487,1,Athletes,6,1,3 days of week,Both,Yes,2,1,All,Both,178,27
694,Asmee Charan,Female,1993-11-27,N.W. College S.O,411001,18.53446,73.88304000000002,1,Essential Fat,14,1,Any Day of Week,Outdoor,No,2,5,All,None,170,27
695,Keya Chandrasekar,Female,2003-09-15,Kasba Peth S.O,411011,18.5242,73.8578,2,Obese,40,3,Only Weekends,Both,No,3,4,Lose fat,Both,165,17
696,Alisha Vijaya,Female,1998-05-04,Shivajinagar S.O (Pune),411005,18.52022,73.84337,4,Acceptable,32,2,Monday To Friday,Indoor,Yes,1,1,Improve athletic skills,Both,168,23
697,Alisha Bhatt,Female,1997-11-27,Katraj S.O,411046,18.45938,73.86667,2,Acceptable,32,4,3 days of week,Indoor,Yes,3,2,Improve endurance/conditioning,None,160,23
698,Anika Sai,Female,1995-01-16,Lokmanyanagar S.O,411030,18.50825,73.84405,2,Athletes,21,2,Any Day of Week,Outdoor,Yes,4,3,Improve athletic skills,Meditation,171,26
699,Ananya Tyagi,Female,1994-12-26,Bajirao Road S.O,411002,18.50995,73.85375,2,Obese,40,1,Daily,Indoor,No,3,2,All,Meditation,173,26
700,Mirai Subram,Female,2003-07-24,Deccan Gymkhana S.O,411004,18.51806,73.83615,3,Acceptable,32,2,Daily,Outdoor,No,5,2,Improve endurance/conditioning,None,165,17
701,Amoli Aggarwal,Female,1984-07-04,Ex. Serviceman Colony S.O,411038,18.48029,73.79853,3,Essential Fat,14,1,3 days of week,Indoor,Maybe,2,2,Lose fat,Both,160,36
702,Vivaan Manju,Male,2003-12-18,Kondhwa Lh B.O,411048,18.48028,73.89846999999997,2,Athletes,6,2,Monday To Friday,Indoor,No,2,3,All,Meditation,161,17
703,Aaradhya Subram,Female,1998-02-25,9 DRD B.O,411014,18.54851,73.90514,4,Obese,40,3,3 days of week,Indoor,Yes,1,3,Lose fat,Yoga,170,23
704,Neysa Sharma,Female,1992-11-23,Masulkar Colony S.O,411018,18.63374,73.8129,1,Athletes,21,5,Only Weekends,Outdoor,No,1,3,Improve endurance/conditioning,Both,162,28
705,Bhuv Soni,Male,2000-10-28,Karvenagar S.O,411052,18.49,73.82244,4,Essential Fat,6,3,Any Day of Week,Outdoor,Maybe,4,3,Lose fat,None,169,20
706,Ranbir Kishore,Male,1982-08-28,Bajirao Road S.O,411002,18.50995,73.85375,5,Obese,95,3,Only Weekends,Both,Maybe,4,2,Lose fat,Both,165,38
707,Rishaan Chauhan,Male,2000-11-09,Khadakwasla R.S. S.O,411024,18.45597,73.78478,3,Athletes,6,5,Daily,Outdoor,Yes,5,5,Build muscle,Yoga,165,20
708,Hem Engineer,Male,1994-05-09,Market Yard S.O (Pune),411037,18.48193,73.87425,1,Fitness,14,5,Any Day of Week,Indoor,Yes,1,5,Improve athletic skills,Yoga,161,27
709,Saisha Madan,Female,1991-03-01,N.C.L. Pune S.O,411008,18.53658,73.7989,1,Essential Fat,14,4,3 days of week,Indoor,Maybe,1,3,Improve athletic skills,Meditation,169,30
710,Rishaan Jai,Male,1994-08-04,Dighi Camp S.O,411015,18.55284,73.95387,5,Essential Fat,6,4,Only Weekends,Outdoor,Maybe,4,4,Improve athletic skills,Yoga,165,26
711,Adah Srivastav,Female,1990-12-19,Kondhwa Lh B.O,411048,18.48028,73.89846999999997,5,Essential Fat,14,3,Alternate Days,Outdoor,Maybe,4,1,Mesomorph,Both,176,30
712,Adhira Chandrasekar,Female,1996-09-02,Pune R.S. S.O,411001,18.5114,73.87722,2,Fitness,22,3,Monday To Friday,Outdoor,Yes,4,4,Build muscle,Meditation,173,24
713,Laksh Sethi,Male,1996-09-24,Bhusari Colony S.O,411038,18.50956,73.79646,3,Fitness,14,1,Monday To Friday,Both,Maybe,2,4,All,Yoga,164,24
714,Ayaan Shan,Male,1981-12-13,Ghorpuri Bazar S.O,411001,18.5259,73.89545,3,Acceptable,23,1,Alternate Days,Indoor,Maybe,3,4,All,Meditation,176,39
715,Ved Verma,Male,1989-07-20,Ganeshkhind S.O,411007,18.55144,73.82197,4,Athletes,6,4,Daily,Both,Yes,3,5,All,Meditation,161,31
716,Bhuv Joshi,Male,2003-10-27,N.I.A. S.O,411045,18.55284,73.95387,2,Acceptable,23,4,Any Day of Week,Both,No,1,1,Improve athletic skills,None,168,17
717,Taahira Veena,Female,1999-12-19,Karvenagar S.O,411052,18.49,73.82244,2,Athletes,21,1,Monday To Friday,Indoor,No,2,4,Improve athletic skills,Meditation,171,21
718,Aadiv Sharma,Male,2000-02-20,Thergaon B.O,411033,18.63172,73.73346,2,Fitness,14,1,Alternate Days,Indoor,Maybe,4,3,Build muscle,Meditation,178,21
719,Raunak Soni,Male,2001-02-08,Range Hills S.O,411020,18.57462,73.82788000000002,2,Fitness,14,2,3 days of week,Outdoor,No,1,5,Lose fat,Yoga,166,20
720,Gian Tyagi,Male,1987-03-06,Thergaon B.O,411033,18.63172,73.73346,3,Acceptable,23,2,Alternate Days,Outdoor,No,2,3,Improve athletic skills,Both,168,34
721,Ayaan Jindal,Male,1993-09-14,Ganeshkhind S.O,411007,18.55144,73.82197,3,Obese,95,1,Daily,Both,No,5,3,All,Both,175,27
722,Ryka Chaudhary,Female,2002-02-14,Aundh T.S. S.O,411007,18.55144,73.82197,2,Acceptable,32,2,Daily,Outdoor,No,2,4,Lose fat,Yoga,170,19
723,Kahaan Chander,Male,2000-04-30,Chinchwadgaon S.O,411033,18.63172,73.73346,4,Athletes,6,5,Only Weekends,Outdoor,Maybe,1,3,Improve athletic skills,Both,171,21
724,Asmee Jana,Female,1982-09-11,Thergaon B.O,411033,18.63172,73.73346,1,Acceptable,32,4,Monday To Friday,Indoor,No,3,1,Improve endurance/conditioning,Meditation,174,38
725,Sarthak Gandhi,Male,1982-07-18,Navsahyadri S.O,411052,18.49528,73.82775,1,Essential Fat,6,4,Only Weekends,Indoor,No,4,3,Mesomorph,None,177,38
726,Raunak Srivas,Male,1995-09-10,Nehrunagar S.O (Pune),411018,18.62728,73.8388,4,Athletes,6,1,Alternate Days,Outdoor,Yes,5,4,Improve athletic skills,Meditation,178,25
727,Ranbir Manju,Male,1993-06-19,Pimpri Colony S.O,411017,18.60755,73.78615,2,Athletes,6,3,Any Day of Week,Indoor,Maybe,2,3,Improve endurance/conditioning,Meditation,175,27
728,Hem Manju,Male,2003-08-27,Bibvewadi S.O,411037,18.48337,73.85561,3,Obese,95,1,Any Day of Week,Outdoor,Yes,1,5,Build muscle,None,174,17
729,Raunak Veena,Male,1984-03-02,Shivajinagar S.O (Pune),411005,18.52022,73.84337,1,Fitness,14,2,Daily,Indoor,Yes,1,5,Improve endurance/conditioning,Yoga,164,37
730,Aadiv Malik,Male,1992-09-30,Dhankawadi S.O,411043,18.46554,73.8487,5,Athletes,6,3,Any Day of Week,Indoor,Maybe,4,5,Build muscle,Meditation,170,28
731,Taksh Rajagopal,Male,1986-06-07,Mohamadwadi S.O,411060,18.47335,73.90957,5,Fitness,14,2,Any Day of Week,Indoor,No,1,2,Improve athletic skills,Meditation,174,34
732,Taarush Patel,Male,2001-04-11,Aundh T.S. S.O,411007,18.55144,73.82197,4,Acceptable,23,5,Any Day of Week,Indoor,Yes,1,5,Build muscle,Yoga,177,20
733,Kashvi Roy,Female,1981-02-04,Pimpri P F S.O,411018,18.57571,73.81074,2,Essential Fat,14,2,Alternate Days,Outdoor,Maybe,4,5,Improve endurance/conditioning,Meditation,172,40
734,Aahva Sen,Male,1999-10-02,Pune R.S. S.O,411001,18.5114,73.87722,1,Obese,95,5,Any Day of Week,Both,No,5,2,Mesomorph,Meditation,163,21
735,Viti Soni,Female,1994-11-19,Pune R.S. S.O,411001,18.5114,73.87722,2,Fitness,22,5,3 days of week,Indoor,Maybe,3,5,Lose fat,Both,176,26
736,Mishka Nigam,Female,1999-05-01,Kasba Peth S.O,411011,18.5242,73.8578,1,Athletes,21,2,Any Day of Week,Outdoor,Yes,3,4,Lose fat,Yoga,163,22
737,Shanaya Mahajan,Female,1981-08-23,Wakad B.O,411057,18.60557,73.76478,4,Fitness,22,2,Any Day of Week,Outdoor,No,2,5,Mesomorph,Meditation,175,39
738,Keya Nita,Female,1996-08-02,Rupeenagar S.O,412114,18.53325,73.89263000000003,4,Athletes,21,5,Only Weekends,Indoor,No,5,5,All,Meditation,174,24
739,Viti Raje,Female,1992-09-10,Nehrunagar S.O (Pune),411018,18.62728,73.8388,5,Fitness,22,3,Alternate Days,Both,Maybe,2,2,Lose fat,None,173,28
740,Vivaan Sara,Male,2000-06-04,Anandnagar S.O (Pune),411051,18.62981,73.84746,2,Athletes,6,5,Daily,Indoor,No,3,4,Improve athletic skills,None,171,20
741,Ira Mittal,Female,1983-03-28,Chinchwadga0n S.O,411033,18.55284,73.95387,5,Acceptable,32,4,Only Weekends,Outdoor,Yes,4,3,All,None,162,38
742,Taara Patel,Female,1989-03-05,Baner Road S.O,411007,18.55383,73.80216,2,Athletes,21,5,Monday To Friday,Both,Yes,1,1,Improve athletic skills,Meditation,169,32
743,Ishank Muthu,Male,1988-03-29,Srpf S.O,411022,18.50193,73.91264,5,Athletes,6,3,Alternate Days,Outdoor,Yes,3,4,Improve endurance/conditioning,Meditation,167,33
744,Naitee Rajan,Female,1982-12-20,Kondhwa BK B.O,411048,18.48028,73.89846999999997,3,Essential Fat,14,4,3 days of week,Indoor,Maybe,5,3,Improve endurance/conditioning,None,165,38
745,Kaia Lal,Female,1991-01-24,Baner Road S.O,411007,18.55383,73.80216,3,Athletes,21,1,Alternate Days,Both,No,3,4,All,Both,173,30
746,Ishana Soni,Female,1994-12-15,L.K. Path S.O,411003,18.54263,73.78494,3,Essential Fat,14,1,Monday To Friday,Outdoor,No,5,3,All,Both,176,26
747,Sahana Chaudhary,Female,2002-12-07,Katraj S.O,411046,18.45938,73.86667,3,Obese,40,3,Monday To Friday,Outdoor,No,5,3,All,Both,178,18
748,Ryka Nigam,Female,1985-03-31,N I B M S.O,411048,18.47298,73.89421,1,Essential Fat,14,5,Monday To Friday,Outdoor,Yes,5,4,All,Both,175,36
749,Kaia Vijaya,Female,1990-04-24,Bhosarigoan S.O,411039,18.55284,73.95387,3,Acceptable,32,2,Daily,Indoor,No,2,2,Build muscle,Yoga,174,31
750,Vivaan Puri,Male,1998-08-27,Raviwar Peth S.O,411002,18.51769,73.86014,4,Essential Fat,6,3,Any Day of Week,Both,Yes,4,4,All,None,174,22
751,Raunak Jai,Male,1998-10-20,Dhanori B.O,411015,18.5844,73.88738000000002,4,Obese,95,4,Alternate Days,Indoor,No,3,4,All,Meditation,160,22
752,Nehrika Subram,Female,1990-03-26,Dighi Camp S.O,411015,18.55284,73.95387,1,Acceptable,32,4,Any Day of Week,Indoor,Yes,4,3,Improve endurance/conditioning,None,171,31
753,Shanaya Neelam,Female,1996-08-10,Srpf S.O,411022,18.50193,73.91264,3,Fitness,22,1,Any Day of Week,Indoor,No,1,1,Improve athletic skills,Both,169,24
754,Saanvi Subramanian,Female,1991-01-02,Mangalwar Peth S.O (Pune),411011,18.5221,73.86273,3,Fitness,22,4,3 days of week,Both,Maybe,3,3,Improve endurance/conditioning,Meditation,173,30
755,Keya Subramanian,Female,1995-11-15,T.V. Nagar S.O,411037,18.46135,73.86633,3,Essential Fat,14,3,Monday To Friday,Indoor,Maybe,4,5,Lose fat,Yoga,169,25
756,Rachit Raman,Male,1996-02-15,Ghorpuri Bazar S.O,411001,18.5259,73.89545,5,Essential Fat,6,4,Daily,Indoor,Yes,4,4,Build muscle,None,169,25
757,Gian Bhat,Male,2001-01-11,Bhosarigoan S.O,411039,18.55284,73.95387,2,Obese,95,3,3 days of week,Indoor,Yes,1,4,Build muscle,Meditation,170,20
758,Vivaan Narayan,Male,1994-07-23,Mangalwar Peth S.O (Pune),411011,18.5221,73.86273,5,Obese,95,2,Only Weekends,Indoor,No,5,2,Improve athletic skills,Meditation,175,26
759,Ishank Sethi,Male,2001-08-09,Khadki S.O,411003,18.56312,73.84433,2,Athletes,6,1,Daily,Outdoor,No,3,3,All,Both,168,19
760,Luv Vish,Male,2000-04-06,Pimpri Colony S.O,411017,18.60755,73.78615,3,Obese,95,4,Any Day of Week,Indoor,Maybe,3,2,Improve endurance/conditioning,Both,174,21
761,Ishana Punj,Female,2003-08-13,Mohamadwadi S.O,411060,18.47335,73.90957,3,Athletes,21,3,Daily,Outdoor,No,1,4,Lose fat,None,173,17
762,Mohammad Soni,Male,1998-04-03,Market Yard S.O (Pune),411037,18.48193,73.87425,5,Acceptable,23,5,Monday To Friday,Indoor,Yes,5,3,Improve endurance/conditioning,Yoga,178,23
763,Manan Veena,Male,1996-03-23,P.C.N.T. S.O,411044,18.6554,73.76124,5,Essential Fat,6,1,Only Weekends,Both,Yes,3,3,All,Meditation,168,25
764,Ira Chandra,Female,1989-01-19,Vadgaon Budruk S.O,411041,18.45823,73.81821,2,Acceptable,32,2,Monday To Friday,Outdoor,Yes,3,5,All,Both,163,32
765,Sahana Sudha,Female,2003-12-15,Bajirao Road S.O,411002,18.50995,73.85375,4,Obese,40,3,Only Weekends,Outdoor,Yes,3,5,Mesomorph,None,166,17
766,Zara Manohar,Female,1983-06-19,Shivaji Housing Society S.O,411016,18.52501,73.82303,2,Acceptable,32,2,3 days of week,Outdoor,Yes,5,1,Improve endurance/conditioning,Both,167,37
767,Zuber Engineer,Male,1983-03-26,Kothrud S.O,411038,18.50767,73.78967,5,Acceptable,23,2,Any Day of Week,Outdoor,Maybe,1,5,Improve athletic skills,None,167,38
768,Yash Tyagi,Male,1992-04-24,9 DRD B.O,411014,18.54851,73.90514,5,Acceptable,23,4,Only Weekends,Both,Maybe,3,3,Improve endurance/conditioning,Both,178,29
769,Mohammad Subramanian,Male,1996-07-09,Anandnagar S.O (Pune),411051,18.62981,73.84746,1,Obese,95,4,Only Weekends,Indoor,Yes,4,5,Build muscle,Yoga,174,24
770,Gian Aggarwal,Male,1988-11-17,Kondhwa BK B.O,411048,18.48028,73.89846999999997,5,Acceptable,23,3,Only Weekends,Outdoor,No,5,1,Lose fat,Meditation,175,32
771,Alex Raji,Male,2001-03-07,Hadapsar S.O,411028,18.50453,73.91255,1,Athletes,6,5,Daily,Both,Yes,2,4,Improve athletic skills,Both,168,20
772,Taara Rajagopal,Female,1992-10-20,Market Yard S.O (Pune),411037,18.48193,73.87425,4,Obese,40,3,3 days of week,Outdoor,Maybe,1,5,Mesomorph,Meditation,171,28
773,Mayra Uddin,Female,2002-07-22,Ex. Serviceman Colony S.O,411038,18.48029,73.79853,2,Acceptable,32,5,Daily,Indoor,Yes,4,3,Lose fat,None,175,18
774,Anaisha Jai,Female,1999-11-14,Kasba Peth S.O,411011,18.5242,73.8578,2,Obese,40,2,Any Day of Week,Outdoor,Maybe,3,4,Lose fat,Yoga,163,21
775,Keya Kishore,Female,1994-10-17,Khadki Arsenel S.O,411003,18.56312,73.84433,1,Fitness,22,1,Only Weekends,Both,Maybe,2,3,Build muscle,Meditation,164,26
776,Shanaya Veena,Female,2001-02-19,A.R. Shala S.O,411004,18.51806,73.83615,2,Athletes,21,3,3 days of week,Indoor,Yes,1,4,Build muscle,Both,167,20
777,Vihaan Chande,Male,1986-05-27,Ex. Serviceman Colony S.O,411038,18.48029,73.79853,5,Acceptable,23,3,3 days of week,Both,Yes,5,3,Build muscle,Meditation,160,34
778,Tanvi Sara,Female,1989-12-04,Bhosarigoan S.O,411039,18.55284,73.95387,3,Fitness,22,5,Alternate Days,Indoor,No,2,5,Improve athletic skills,Meditation,165,31
779,Pahal Jai,Male,2002-10-28,Chinchwadga0n S.O,411033,18.55284,73.95387,1,Fitness,14,2,Any Day of Week,Indoor,Maybe,2,5,Improve endurance/conditioning,None,174,18
780,Atiksh Kishore,Male,2000-07-14,Lohogaon S.O,411047,18.55284,73.95387,2,Obese,95,2,3 days of week,Indoor,No,4,1,Lose fat,Yoga,163,20
781,Ved Neelam,Male,1983-06-03,Karvenagar S.O,411052,18.49,73.82244,1,Fitness,14,5,Only Weekends,Outdoor,Yes,1,4,Improve endurance/conditioning,Yoga,170,37
782,Naitee Goel,Female,1988-12-23,Shivaji Housing Society S.O,411016,18.52501,73.82303,1,Athletes,21,2,Only Weekends,Both,Maybe,4,1,Improve endurance/conditioning,Meditation,164,32
783,Ishana Neel,Female,1989-08-10,Dighi Camp S.O,411015,18.55284,73.95387,3,Athletes,21,4,3 days of week,Both,No,4,2,Build muscle,Meditation,177,31
784,Sadhil Jindal,Male,1991-01-27,Dapodi Bazar S.O,411012,18.57995,73.82783,5,Essential Fat,6,1,Daily,Both,No,3,5,Improve endurance/conditioning,None,174,30
785,Naksh Pal,Male,1999-02-13,Lohogaon S.O,411047,18.55284,73.95387,1,Athletes,6,3,Any Day of Week,Indoor,No,5,4,Lose fat,Meditation,177,22
786,Laksh Raji,Male,1984-04-21,Ghorpade Peth S.O,411042,18.50139,73.86309,2,Fitness,14,1,Only Weekends,Outdoor,Yes,2,1,Lose fat,None,172,37
787,Alex Charan,Male,1990-12-20,Kasarwadi S.O,411034,18.60373,73.82221,4,Athletes,6,3,3 days of week,Indoor,Yes,1,1,All,Yoga,164,30
788,Pahal Persaud,Male,1991-09-29,Vadgaon Budruk S.O,411041,18.45823,73.81821,1,Obese,95,4,Only Weekends,Both,Yes,5,2,Mesomorph,Yoga,160,29
789,Yash Chande,Male,1998-09-01,Pune City H.O,411002,18.51377,73.85991,1,Essential Fat,6,2,3 days of week,Outdoor,Maybe,5,1,Improve athletic skills,None,177,22
790,Rishit Anand,Male,1991-03-25,P.C.N.T. S.O,411044,18.6554,73.76124,3,Fitness,14,5,Any Day of Week,Outdoor,Yes,1,3,Improve endurance/conditioning,Meditation,173,30
791,Ananya Lalit,Female,2002-01-02,Khadakwasla R.S. S.O,411024,18.45597,73.78478,5,Essential Fat,14,4,3 days of week,Outdoor,Maybe,5,5,Improve athletic skills,Yoga,164,19
792,Anaisha Sehgal,Female,1987-06-22,9 DRD B.O,411014,18.54851,73.90514,4,Fitness,22,1,Alternate Days,Both,No,3,1,Improve athletic skills,Both,165,33
793,Carina Chande,Female,2001-01-27,H.E. Factory S.O,411003,18.57295,73.86363,2,Obese,40,5,3 days of week,Outdoor,No,5,1,Improve athletic skills,None,175,20
794,Kimaya Sahni,Female,1989-03-14,Nehrunagar S.O (Pune),411018,18.62728,73.8388,4,Essential Fat,14,2,3 days of week,Outdoor,Yes,3,2,All,Yoga,171,32
795,Hiya Punj,Female,1995-02-15,Mundhva B.O,411036,18.53135,73.91478000000002,2,Acceptable,32,4,Any Day of Week,Indoor,No,2,3,Improve athletic skills,Yoga,177,26
796,Sahana Pawan,Female,1990-02-14,Warje S.O,411058,18.48029,73.79853,5,Fitness,22,5,3 days of week,Indoor,Yes,2,1,All,Yoga,161,31
797,Mishka Nirmal,Female,1992-01-17,Anandnagar S.O (Pune),411051,18.62981,73.84746,2,Acceptable,32,4,Any Day of Week,Outdoor,Maybe,4,5,Lose fat,Both,172,29
798,Mishka Nita,Female,1999-10-17,T.V. Nagar S.O,411037,18.46135,73.86633,3,Essential Fat,14,4,Alternate Days,Outdoor,No,3,5,Improve endurance/conditioning,Both,176,21
799,Anika Manohar,Female,1989-12-31,Mohamadwadi S.O,411060,18.47335,73.90957,3,Acceptable,32,2,Any Day of Week,Indoor,Yes,2,1,All,Both,176,31
800,Nehrika Chande,Female,1984-10-05,Lohogaon S.O,411047,18.55284,73.95387,3,Acceptable,32,3,Only Weekends,Indoor,No,5,3,Mesomorph,Meditation,175,36
801,Rachit Chandra,Male,1985-09-29,Mohamadwadi S.O,411060,18.47335,73.90957,3,Essential Fat,6,5,Any Day of Week,Indoor,No,1,5,Improve athletic skills,None,177,35
802,Idhant Patel,Male,1987-10-02,Dr.B.A. Chowk S.O,411001,18.52484,73.87657,4,Obese,95,2,Alternate Days,Both,Yes,1,5,Mesomorph,Meditation,167,33
803,Saloni Ranga,Female,1988-01-31,S.S.C.Exam Board S.O,411005,18.53245,73.84654,5,Acceptable,32,4,Monday To Friday,Both,No,3,3,Lose fat,Both,162,33
804,Adah Mati,Female,2001-09-04,N.W. College S.O,411001,18.53446,73.88304000000002,2,Acceptable,32,2,3 days of week,Indoor,No,4,3,Lose fat,None,176,19
805,Vihaan Dutta,Male,1992-04-29,Pune Weather S.O,411005,18.53245,73.84654,2,Obese,95,3,Any Day of Week,Outdoor,No,5,1,Build muscle,Meditation,177,29
806,Sneha Saxena,Female,1997-11-22,Indrayaninagar S.O,411026,18.62923,73.83431999999998,3,Acceptable,32,5,3 days of week,Indoor,No,3,4,Improve athletic skills,Meditation,165,23
807,Dasya Nirmal,Male,1999-11-26,Ammunition Factory Khadki S.O,411003,18.57295,73.86363,3,Acceptable,23,3,Daily,Both,Maybe,1,2,Build muscle,Meditation,167,21
808,Aahva Joshi,Male,2001-08-29,9 DRD B.O,411014,18.54851,73.90514,1,Acceptable,23,1,Only Weekends,Outdoor,No,3,4,Mesomorph,Both,172,19
809,Naksh Dutta,Male,1999-10-09,N.I.A. S.O,411045,18.55284,73.95387,5,Athletes,6,5,Only Weekends,Both,No,5,4,Improve endurance/conditioning,Yoga,167,21
810,Kashvi Veer,Female,2000-10-13,S.S.C.Exam Board S.O,411005,18.53245,73.84654,4,Obese,40,3,Daily,Outdoor,Yes,2,5,Build muscle,None,178,20
811,Sai Nagpal,Female,1993-01-26,Rupeenagar S.O,412114,18.53325,73.89263000000003,2,Acceptable,32,4,Daily,Both,Maybe,5,3,Lose fat,Both,165,28
812,Vihaan Pawan,Male,1983-06-27,Raviwar Peth S.O,411002,18.51769,73.86014,1,Obese,95,5,Any Day of Week,Outdoor,Yes,2,5,Improve athletic skills,None,174,37
813,Adah Arun,Female,1996-01-19,Ganeshkhind S.O,411007,18.55144,73.82197,1,Fitness,22,5,Daily,Outdoor,Yes,2,2,Mesomorph,Both,169,25
814,Taksh Srivastava,Male,1986-11-30,Khondhwa KH B.O,411048,18.45756,73.89339,2,Fitness,14,2,Monday To Friday,Outdoor,Yes,2,1,All,Meditation,176,34
815,Shrishti Raji,Female,2003-02-08,S.S.C.Exam Board S.O,411005,18.53245,73.84654,4,Acceptable,32,4,3 days of week,Outdoor,Maybe,3,2,Lose fat,Meditation,160,18
816,Reyansh Neela,Male,1982-09-17,Wanowarie S.O,411040,18.494770000000006,73.90127,1,Obese,95,1,3 days of week,Both,Yes,1,5,All,Yoga,166,38
817,Taksh Kishore,Male,1991-08-19,Kasba Peth S.O,411011,18.5242,73.8578,1,Obese,95,3,Alternate Days,Both,Yes,3,5,Improve endurance/conditioning,Yoga,172,29
818,Nimit Manohar,Male,1990-08-20,Parvati S.O,411009,18.49631,73.85621,5,Obese,95,2,Daily,Outdoor,Yes,1,5,Improve athletic skills,None,162,30
819,Rishaan Sharma,Male,1981-12-06,Vishrantwadi S.O,411015,18.60226,73.89806,4,Athletes,6,3,Daily,Outdoor,No,5,5,Improve endurance/conditioning,Yoga,178,39
820,Aahva Neela,Male,1986-10-17,Dapodi Bazar S.O,411012,18.57995,73.82783,1,Fitness,14,1,Monday To Friday,Both,Yes,4,4,Improve endurance/conditioning,Yoga,174,34
821,Kevin Neelam,Male,2001-11-28,Lokmanyanagar S.O,411030,18.50825,73.84405,4,Obese,95,1,Only Weekends,Outdoor,Maybe,5,1,Improve athletic skills,None,164,19
822,Hem Krishnamurthy,Male,1983-06-30,Swargate Chowk S.O,411042,18.506970000000006,73.87119,2,Obese,95,5,Only Weekends,Outdoor,Maybe,3,4,Improve athletic skills,Both,170,37
823,Sneha Pawan,Female,1990-02-26,Navsahyadri S.O,411052,18.49528,73.82775,3,Athletes,21,1,3 days of week,Outdoor,No,3,5,All,Yoga,177,31
824,Reyansh Subramanian,Male,1984-10-04,Nana Peth S.O,411002,18.51009,73.85672,1,Athletes,6,3,3 days of week,Indoor,Maybe,1,3,Improve endurance/conditioning,Both,162,36
825,Taksh Tyagi,Male,1988-12-21,Rupeenagar S.O,412114,18.53325,73.89263000000003,5,Obese,95,4,Any Day of Week,Outdoor,Maybe,3,4,Mesomorph,Meditation,165,32
826,Sahana Chandra,Female,1991-09-30,Parvati Gaon S.O,411009,18.49631,73.85621,2,Essential Fat,14,4,Monday To Friday,Indoor,No,2,5,All,Yoga,162,29
