,Name,Gender,DOB
1321,Ananya Muthu,Female,1988-06-16
1322,Carina Nara,Female,2000-10-17
1323,Ishita Ganesh,Female,1989-07-04
1324,Yug Raje,Male,1996-01-11
1325,Hiya Puri,Female,2002-11-07
1326,Kairav Arun,Male,1988-07-15
1327,Aadiv Krishnamurthy,Male,1997-03-31
1328,Viti Srivastava,Female,1988-08-12
1329,Pahal Malhotra,Male,1987-10-25
1330,Hiya Srivastav,Female,1989-10-28
1331,Navya Mehta,Female,1992-08-04
1332,Nirav Joshi,Male,2001-03-01
1333,Carina Sara,Female,1996-08-13
1334,Adhira Sen,Female,1988-06-12
1335,Neysa Subramani,Female,1987-08-17
1336,Sarthak Kapoor,Male,1997-04-03
1337,Adah Chandra,Female,1987-02-07
1338,Ranbir Punj,Male,1985-08-06
1339,Mahika Raje,Female,1992-07-14
1340,Rebecca Swami,Female,1981-10-17
1341,Sarthak Joshi,Male,1990-07-26
1342,Hiya Shan,Female,1992-02-12
1343,Taksh Patel,Male,1989-04-21
1344,Bhuv Arun,Male,2003-10-04
1345,Tanvi Rai,Female,1985-03-27
1346,Neysa Sethi,Female,1982-03-01
1347,Manan Srivastava,Male,1987-08-12
1348,Hiya Rajagopal,Female,1989-01-25
1349,Hem Saxena,Male,1982-01-14
1350,Vivaan Engineer,Male,1995-11-24
1351,Ira Chandrasekar,Female,1995-10-21
1352,Viti Lalit,Female,2002-06-25
1353,Ishank Meena,Male,1983-11-24
1354,Tanvi Dutta,Female,1998-07-28
1355,Gian Kishore,Male,1993-05-13
1356,Reyansh Persaud,Male,1996-12-15
1357,Prisha Subramani,Female,1994-03-06
1358,Krisha Rajan,Female,1998-02-22
1359,Mayra Srivastava,Female,1998-10-04
1360,Aadiv Jana,Male,1995-09-21
1361,Keya Swami,Female,1990-10-06
1362,Parv Dutta,Male,1987-07-15
1363,Anika Engineer,Female,1989-12-25
1364,Kashvi Sahni,Female,1997-11-01
1365,Viti Nigam,Female,1992-09-30
1366,Saisha Persaud,Female,1996-01-06
1367,Laksh Malik,Male,1997-06-26
1368,Neysa Saini,Female,1983-08-25
1369,Rohan Aggarwal,Male,1990-10-24
1370,Sai Kishore,Female,2001-09-15
1371,Taara Madan,Female,1995-05-31
1372,Rebecca Nigam,Female,1982-04-13
1373,Krisha Jana,Female,1994-09-13
1374,Nirav Lata,Male,1993-02-02
1375,Mishka Dutta,Female,1992-01-07
1376,Adah Vish,Female,1988-02-05
1377,Rohan Nagpal,Male,1986-05-05
1378,Alisha Roy,Female,1994-10-14
1379,Sneha Ranga,Female,1986-10-01
1380,Ira Naran,Female,1983-12-15
1381,Avni Nath,Female,1998-07-26
1382,Neysa Rai,Female,1989-12-10
1383,Raunak Kapoor,Male,1984-08-12
1384,Taara Veer,Female,1995-06-06
1385,Sarthak Rai,Male,1997-09-03
1386,Kairav Dutta,Male,1999-11-06
